Description,Assistance_Area,Tags,Resource_Type
"<strong><a href=""/node/911531"">Clean Energy Finance Guide: Chapter 7 - Path to Self-Sustainability</a></strong></br>Chapter 7 of the Clean Energy Finance Guide</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/716666"">Guide to Federal Financing for Energy Efficiency and Clean Energy Deployment</a></strong></br>This guide, now in its second edition, is a product of a cooperative effort among seven federal agencies, including the U.S. Departments of Agriculture, Energy, Housing and Urban Development, Transportation, and Treasury, along with the Environmental Protection Agency and Small Business Administration. For every facility listed, the guide identifies a single point of contact who can answer your questions and provide additional support.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/919946"">Qualified Energy Conservation Bonds & New Clean Renewable Energy Bonds (New CREBs)</a></strong></br>Provides a presentation overview of Qualified Energy Conservation Bonds and new clean renewable energy bonds, including characteristics, mechanics, allocated volume, and other information.</br>PRESENTATIONS",Pay for Energy Initiatives,Financing,Presentations
"<strong><a href=""/node/919736"">Innovative Financing Solutions to Hawaii's Clean Energy Challenges</a></strong></br>Overview of on-bill financing basics, Hawaii's energy landscape, and Green Energy Market Securitization.</br>PRESENTATIONS",Pay for Energy Initiatives,Financing; Financing: On-Bill Financing; Renewable Power,Presentations
"<strong><a href=""/node/919816"">Reduce Risk, Increase Clean Energy</a></strong></br>Provides a overview of finance tools available to scale-up to clean energy.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/919916"">Qualified Energy Conservation Bonds Appendix A: QECB Counsel, Underwriters, Banks, and Trustees</a></strong></br>Qualified Energy Conservation Bonds appendices.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing,Reports & Guides
"<strong><a href=""/node/919716"">On-Bill Financing for Energy Efficiency Improvements: A Review of Current Program Challenges, Opportunities, and Best Practices</a></strong></br>This report takes a closer look at experience with on-bill financing programs and analyzes key elements for successful programs as well as factors that may impede the achievement of optimal results.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing: On-Bill Financing,Reports & Guides
"<strong><a href=""http://www.nrel.gov/docs/fy12osti/48685.pdf"">Federal and State Structures to Support Financing Utility-Scale Solar Projects and the Business Models Designed to Utilize Them</a></strong></br>Evaluates policies regarding new renewable energy development based on industry literature, publically available data and questionnaires.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Financing; Renewable Power,Reports & Guides
"<strong><a href=""http://uc-ciee.org/library/1/371/49/nested"">Market Segmentation and Energy Efficiency Program Design</a></strong></br>Describes the existing state of market segmentation among California's electric utilities, with an emphasis on the investor-owned utilities.</br>REPORTS & GUIDES",Pay for Energy Initiatives,Utilities,Reports & Guides
"<strong><a href=""/node/915716"">Financial Institution Request for Proposal for Residential Energy Efficiency Loan Facilities - Template</a></strong></br>A competitive procurement procedure template to award loan loss reserve funds to a financial institution partner.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/919651"">Model Agreement Between Governmental Entity and Financial Institution to Establish a Financing Program</a></strong></br>Template for loan loss reserve fund agreement.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/958831"">Energy Efficiency Loan Program Agreement Template</a></strong></br>A template agreement demonstrating how to address the deposit and use of loan loss reserve monies.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/919646"">Loan Loss Reserve Request for Proposals - Template</a></strong></br>Template to request proposals for residential energy efficiency loan facilities.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/958836"">Draft ""Michigan Saves"" Loan Loss Reserve Fund Agreement</a></strong></br>A sample loan loss reserve agreement between a state or local government and a financial institution setting the terms and conditions of the loan loss reserve fund.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/958811"">Energy Efficiency Financing Program Agreement Template</a></strong></br>A template agreement that addresses the full energy efficiency or renewable energy loan origination cycle.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/958826"">Financial Institution Request for Proposals for Residential Energy Efficiency Loan Facilities Template</a></strong></br>A competitive procurement procedure template to award loan loss reserve funds to a financial institution partner.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/958816"">Sample Request for Proposal: City of Independence, Missouri Home Energy Loan Program Administration</a></strong></br>A sample competitive procurement procedure to award loan loss reserve funds to a financial institution partner.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""/node/958821"">Sample Residential Program Term Sheet</a></strong></br>A sample for defining and elaborating on the specifics of a clean energy loan program.</br>TOOLS",Pay for Energy Initiatives,Financing,Tools
"<strong><a href=""http://www.energyprograms.org/2014/12/qecb-papers/"">Qualified Energy Conservation Bonds</a></strong></br>Provides an in-depth description of Qualified Energy Conservation Bonds, including process and mechanics, case studies, utilization trends, barriers, and regulatory and legal issues.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""http://www.aglf.org/faq"">Association for Government Leasing & Finance</a></strong></br>Frequently Asked Questions about Tax-Exempt Municipal Leasing.</br>WEBPAGES",Pay for Energy Initiatives,Financing,Webpages
"<strong><a href=""http://www.eesi.org/briefings/view/how-on-bill-financing-unlocks-energy-efficiency"">How On-Bill Financing Unlocks Energy Efficiency</a></strong></br>Briefing about on-bill financing held by the Environmental and Energy Study Institute and The Electric Cooperatives of South Carolina.</br>WEBPAGES",Pay for Energy Initiatives,Financing: On-Bill Financing,Webpages
"<strong><a href=""http://aceee.org/sector/state-policy/toolkit/on-bill-financing"">On-Bill Financing for Energy Efficiency Improvements Toolkit</a></strong></br>Provides some benefits and barriers to on-bill programs.</br>WEBPAGES",Pay for Energy Initiatives,Financing: On-Bill Financing,Webpages
"<strong><a href=""https://www.edf.org/energy/obr"">Environmental Defense Fund: On-Bill Repayment Program</a></strong></br>Provides an overview of on-bill repayment programs.</br>WEBPAGES",Pay for Energy Initiatives,Financing: On-Bill Financing,Webpages
"<strong><a href=""http://www.pacenow.org/resources/"">PACENow Resources</a></strong></br>Provides a broad range of property assessed clean energy resources.</br>WEBPAGES",Pay for Energy Initiatives,Financing: Property Assessed Clean Energy,Webpages
"<strong><a href=""https://financere.nrel.gov/finance/content/municipal-bond-power-purchase-agreement-model-continues-provide-low-cost-solar-energy"">Municipal Bond - Power Purchase Agreement Model Continues to Provide Low-Cost Solar Energy</a></strong></br>Provides an overview for a power purchase agreement model to provide low-cost solar energy.</br>WEBPAGES",Pay for Energy Initiatives,Financing; Renewable Power,Webpages
